#100NEWSALON,#100NEWSALON,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,100,,,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,CARTON
A3718,A3718,COLLAR PERLA,PUNN,OUNN,ZZNNN,ZRNNN,VYUN,UND,0,,6076,FANTASIA,COLLARES,COLLARES FINOS,GENERAL
A3719,A3719,COLLAR PERLA,OUNN,ZZNNN,ZWUNN,ZONNN,VRUN,UND,0,,6080,FANTASIA,COLLARES,COLLARES FINOS,GENERAL
A3720,A3720,COLLAR PERLA LARGO,ZSNNN,ZRNNN,YNNNN,WYNNN,PNNN,UND,1,,6051,FANTASIA,COLLARES,COLLARES FINOS,GENERAL
A3721,A3721,COLLAR PERLA,ZNNNN,ZZNNN,ZWNNN,YNNNN,UNNN,UND,0,,6048,FANTASIA,COLLARES,COLLARES FINOS,GENERAL
A3722,A3722,COLLAR PERLA,ZZNNN,ZYNNN,ZVNNN,YYNNN,UUNN,UND,0,,6058,FANTASIA,COLLARES,COLLARES FINOS,GENERAL
A3723,A3723,COLLAR PERLA,ZYNNN,ZWNNN,ZUUNN,YVNNN,SNNN,UND,0,,6065,FANTASIA,COLLARES,COLLARES FINOS,GENERAL
A3724,A3724,COLLAR PERLA,PUNN,OUNN,ZZNNN,ZRNNN,VYUN,UND,0,,6062,FANTASIA,COLLARES,COLLARES FINOS,GENERAL
A3725,A3725,COLLAR FINO,ZNUNN,ZZUNN,ZVUNN,YZNNN,UYUN,UND,0,,6059,FANTASIA,COLLARES,COLLARES FINOS,GENERAL
A3726,A3726,DIADEMA PERLA,YUNN,YPNN,WWNN,UNNN,ZYUN,UND,0,,5634,FANTASIA,ACCESORIOS PARA FIESTA,CABELLO,GENERAL
A3727,A3727,DIADEMA,WUNN,VNNN,VUNN,RNNN,ZRUN,UND,1,,5626,FANTASIA,ACCESORIOS DE FIESTA,DIADEMAS,GENERAL
A3728,A3728,DIADEMA MURANO,WUNN,VNNN,VUNN,RNNN,ZRUN,UND,0,,5634,FANTASIA,ACCESORIOS PARA FIESTA,CABELLO,GENERAL
A3729,A3729,DIADEMA,WUNN,VNNN,VUNN,RNNN,ZRUN,UND,1,,5579,GENERAL,GENERAL,GENERAL,GENERAL
A3730,A3730,DIADEMA MURANO,WUNN,VNNN,VUNN,RNNN,ZRUN,UND,0,,5627,FANTASIA,ACCESORIOS PARA FIESTA,CABELLO,GENERAL
A3731,A3731,DIADEMA MURANO,WNNN,WWNN,VUNN,SNNN,ZUNN,UND,ALT:3.5CM,,7187,FANTASIA,ACCESORIOS DE FIESTA,TIARAS,GENERAL
A3732,A3732,DIADEMA PERLAS,WUNN,VNNN,VUNN,RNNN,ZRUN,UND,0,,5627,FANTASIA,ACCESORIOS PARA FIESTA,CABELLO,GENERAL
A3733,A3733,DIADEMA MURANO,WUNN,VNNN,VUNN,RNNN,ZRUN,UND,ALT:3.8,,7188,FANTASIA,ACCESORIOS DE FIESTA,TIARAS,GENERAL
A3734,A3734,CORONA,WUNN,VNNN,VUNN,RNNN,ZRUN,UND,1,,5579,FANTASIA,ACCESORIOS DE FIESTA,TIARAS,GENERAL
A3736,A3736,HEBILLA IMITACION MURANO,ZNYNN,ZZVNN,ZWYNN,YNVNN,UZNN,DOC,12,,3744,FANTASIA,HEBILLAS,ECONOMICO,HEBILLA ECONOMICA
A3740,A3740,CINTURON METALICO,VPNN,UUNN,SNNN,ONNN,YVNN,UND,0,,7550,BOLSOS BILLETERAS Y CORREAS,CORREAS,GENERAL,GENERAL
A3742,A3742,CINTURON METALICO,SNNN,SUNN,RUNN,ZYNNN,WNNN,UND,0,,5732,BOLSOS BILLETERAS Y CORREAS,CORREAS,GENERAL,GENERAL
A3744-AB,A3744-AB,CINTURON METALICO,ZZNNN,ZYNNN,ZVVNN,YYNNN,UUNN,UND,0,,7551,BOLSOS BILLETERAS Y CORREAS,CORREAS,GENERAL,GENERAL
A3744-W,A3744-W,CINTURON METALICO,ZZNNN,ZYNNN,ZVVNN,YYNNN,UUNN,UND,1,,7551,BOLSOS BILLETERAS Y CORREAS,CORREAS,GENERAL,GENERAL
A3755,A3755,TOPO CAJA ACRILICA,VNNN,VVNN,UYNN,PNNN,YNNN,CAJ,6MM,,2350,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3756,A3756,TOPO CAJA ACRILICA,VNNN,VVNN,VPNN,PNNN,YNNN,CAJ,6MM,,2357,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3757,A3757,TOPO CAJA ACRILICA,UUNN,SNNN,RYNN,ZZNNN,YRUN,CAJ,3MM,,2335,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3758,A3758,TOPO CAJA ACRILICA,UUNN,SNNN,RYNN,ZZNNN,YRUN,CAJ,3MM,,2352,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3759,A3759,TOPO CAJA ACRILICA,WWNN,WSNN,VYNN,SSNN,ZSUN,CAJ,4MM,,2335,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3760,A3760,TOPO CAJA ACRILICA,WUNN,VNNN,VUNN,RNNN,ZRUN,CAJ,8MM,,2307,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3761,A3761,COLLAR PERLAS,YRNN,WNNN,WUNN,UVNN,ZWUN,UND,0,,,FANTASIA,COLLARES,COLLARES FINOS,GENERAL
A3765,A3765,TOPO CAJA ACETATO PERLA,ZYNN,ZWNN,ZSNN,YVNN,SNN,CAJ,10,,2323-2324,GENERAL,GENERAL,GENERAL,GENERAL
A3765-1,A3765-1,ARETE CAJA ACETATO,ZYNN,ZWNN,ZSNN,YVNN,SNN,CAJ,10,,2323,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3765-2,A3765-2,TOPO CAJA ACETATO,ZYNN,ZWNN,ZSNN,YVNN,SNN,CAJ,4MM,,2324,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3766,A3766,TOPO CAJA ACETATO,ZYNN,ZWNN,ZSNN,YVNN,SNN,CAJ,12,,2325,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3767,A3767,TOPO CAJA ACRILICA,YVNN,YSNN,WZNN,VPNN,ZYNN,CAJ,6MM,,2322,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3770,A3770,TOPO CAJA ACRILICA FLOR,WSNN,VNNN,VPNN,RYNN,ZPNN,CAJ,12,,2315,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3771,A3771,TOPO CAJA ACRILICA,YPNN,WNNN,WSNN,USNN,ZVNN,CAJ,1.5,,2314,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3772,A3772,ARETE COVER GOLD,VUNN,UNNN,SNNN,ONNN,YYUN,PAR,,,7595,GENERAL,GENERAL,GENERAL,GENERAL
A3773,A3773,ARETE COVER GOLD,RNNN,RUNN,ONNN,ZVNNN,WUNN,PAR,,,7913,GENERAL,GENERAL,GENERAL,GENERAL
A3774,A3774,ARETE COVER GOLD,SNNN,SUNN,RUNN,ZYNNN,WNNN,PAR,1.5 CM,,7896,COVER GOLD,ARETES,GENERAL,GENERAL
A3775,A3775,ARETE COVER GOLD,RONN,PUNN,ZNNNN,ZUPNN,WOUN,PAR,,,7637,GENERAL,GENERAL,GENERAL,GENERAL
A3776,A3776,ARETE COVER GOLD,ZNNNN,ZZNNN,ZWNNN,YNNNN,UNNN,PAR,,,7906,COVER GOLD,ARETES,GENERAL,GENERAL
A3777,A3777,ARETE COVERGOLD,UNNN,UUNN,SUNN,ZNNNN,YUNN,PAR,1.0,,7897,COVER GOLD,ARETES,GENERAL,GENERAL
A3778,A3778,ARETE COVER GOLD,RNNN,RUNN,ONNN,ZVNNN,WUNN,PAR,,,7922,COVER GOLD,ARETES,GENERAL,GENERAL
A3779,A3779,ARETE COVERGOLD,RUNN,PNNN,OUNN,ZUNNN,WRUN,PAR,1.5,,7898,COVER GOLD,ARETES,GENERAL,GENERAL
A3780,A3780,ARETE COVER GOLD,UNNN,UUNN,SUNN,ZNNNN,YUNN,PAR,,,7602,GENERAL,GENERAL,GENERAL,GENERAL
A3781,A3781,ARETE COVER GOLD,PUNN,ONNN,ZZNNN,ZRNNN,VYUN,PAR,,,7595,GENERAL,GENERAL,GENERAL,GENERAL
A3782,A3782,ARETE COVER GOLD,PNNN,PUNN,ZNUNN,ZSNNN,VNNN,PAR,2.0 CM,,7896,COVER GOLD,ARETES,GENERAL,GENERAL
A3783,A3783,ARETE COVER GOLD,ONNN,OUNN,ZZNNN,ZPNNN,VUNN,PAR,,,,COVER GOLD,ARETES,GENERAL,GENERAL
A3784,A3784,ARETE COVERGOLD,PPNN,OUNN,ZZNNN,ZRSNN,VVNN,PAR,3.5,,7910,COVER GOLD,ARETES,GENERAL,GENERAL
A3785,A3785,CANDONGA COVERGOLD,SNNN,SUNN,RUNN,ZYNNN,WNNN,PAR,1.0 MM,,7896,COVER GOLD,ARETES,GENERAL,GENERAL
A3786,A3786,ARETE COVER GOLD,OPNN,ZNUNN,ZYUNN,ZOSNN,VONN,PAR,,,7896,COVER GOLD,ARETES,GENERAL,GENERAL
A3787,A3787,CANDONGA COVERGOLD,UPNN,SUNN,RUNN,ZZSNN,YONN,PAR,1.0,,7910,COVER GOLD,ARETES,GENERAL,GENERAL
A3788,A3788,ARETE COVER GOLD,ZVUNN,ZSNNN,ZPONN,YONNN,RWNN,PAR,1.0,,7897,COVER GOLD,ARETES,GENERAL,GENERAL
A3789,A3789,ARETE COVER GOLD,SUNN,RNNN,PUNN,ZWNNN,WYUN,PAR,,,7896,COVER GOLD,ARETES,GENERAL,GENERAL
A3791,A3791,ARETE COVER GOLD,PNNN,PUNN,ZNUNN,ZSNNN,VNNN,PAR,1.0,,7896,COVER GOLD,ARETES,GENERAL,GENERAL
A3792,A3792,ARETE COVER GOLD,SPNN,RNNN,PUNN,ZWSNN,WVNN,PAR,1.0,,7896,COVER GOLD,ARETES,GENERAL,GENERAL
A3793,A3793,ARETE COVER GOLD,RNNN,RUNN,ONNN,ZVNNN,WUNN,PAR,1.5,,7898,COVER GOLD,ARETES,GENERAL,GENERAL
A3794,A3794,ARETE COVER GOLD,URNN,SNNN,RUNN,ZZVNN,YPUN,PAR,1.5,,7896,COVER GOLD,ARETES,GENERAL,GENERAL
A3795,A3795,ARETE COVERGOLD,SNNN,SUNN,RUNN,ZYNNN,WNNN,PAR,2.0,,7904,COVER GOLD,ARETES,GENERAL,GENERAL
A3796,A3796,ARETE COVER GOLD,VPNN,UNNN,SNNN,OSNN,YVNN,PAR,0,,7595,COVER GOLD,ARETES,GENERAL,GENERAL
A3797,A3797,CANDONGA COVERGOLD,UUNN,SNNN,RNNN,ZZNNN,YRUN,PAR,1.5 MM,,7898,COVER GOLD,ARETES,GENERAL,GENERAL
A3798,A3798,ARETE COVER GOLD,RNNN,RUNN,ONNN,ZVNNN,WUNN,PAR,1.5,,7914,COVER GOLD,ARETES,GENERAL,GENERAL
A3802,A3802,ARETE COVER GOLD,SNNN,SUNN,RUNN,ZYNNN,WNNN,PAR,2.5 CM,,7896,COVER GOLD,ARETES,GENERAL,GENERAL
A3803,A3803,ARETE COVER GOLD,UNNN,UUNN,SUNN,ZNNNN,YUNN,PAR,2.0,,7896,COVER GOLD,ARETES,GENERAL,GENERAL
A3806,A3806,ARETE CAJA ACRILICA,VUNN,UNNN,SNNN,ONNN,YYUN,CAJ,4.0,,2374,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3808,A3808,ARETE CAJA ACRILICA,VUNN,UNNN,SNNN,ONNN,YYUN,CAJ,8,,2306,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3809,A3809,TOPO CAJA ACRILICA,VUNN,UNNN,SNNN,ONNN,YYUN,CAJ,1.0,,2345,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3811,A3811,TOPO CAJA ACRILICA,VUNN,UNNN,SNNN,ONNN,YYUN,CAJ,2.0,,2298,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3820,A3820,ARETE CAJA ACRILICA,VUNN,UNNN,SNNN,ONNN,YYUN,CAJ,4.5,,2305,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3821,A3821,TOPO CAJA ACRILICA,VUNN,UNNN,SNNN,ONNN,YYUN,CAJ,2.0,,2340,FANTASIA,ARETES,CAJA DE ACETATO,GENERAL
A3827-D,A3827-D,DUO ACERO PERLA,PUNN,OUNN,ZZNNN,ZRNNN,VYUN,UND,1,,7718,ACERO,DUOS,GENERAL,GENERAL
A3829-D,A3829-D,DUO ACERO,VUNN,UNNN,SNNN,ONNN,YYUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
A3831-D,A3831-D,DIJE ACERO,WUNN,WONN,UNNN,RNNN,ZRUN,UND,2.0X1.3,,6799,ACERO,DIJES,GENERAL,GENERAL
A3832-B,A3832-B,DIJE ACERO,WUNN,WONN,UNNN,RNNN,ZRUN,UND,2.0X1.3,,6799,ACERO,DIJES,GENERAL,GENERAL
A3834-D,A3834-D,DIJE ACERO,WUNN,WONN,UNNN,RNNN,ZRUN,UND,2.8X2.0,,6795,ACERO,DIJES,GENERAL,GENERAL
A3835-B,A3835-B,DIJE ACERO,WUNN,WONN,UNNN,RNNN,ZRUN,UND,2.8X2.0,,6795,ACERO,DIJES,GENERAL,GENERAL
A3840-D,A3840-D,DIJE ACERO,WUNN,WONN,UNNN,RNNN,ZRUN,UND,3.0,,6802,ACERO,DIJES,GENERAL,GENERAL
A3841-B,A3841-B,DIJE ACERO,WUNN,WONN,UNNN,RNNN,ZRUN,UND,3.0,,6802,ACERO,DIJES,GENERAL,GENERAL
A3843-D,A3843-D,DIJE ACERO,WUNN,WONN,UNNN,RNNN,ZRUN,UND,3.5X3.5,,6801,ACERO,DIJES,GENERAL,GENERAL
A3844-B,A3844-B,DIJE ACERO,WUNN,WONN,UNNN,RNNN,ZRUN,UND,3.5X3.5,,6801,ACERO,DIJES,GENERAL,GENERAL
A3846-D,A3846-D,DIJE ACERO,WUNN,WONN,UNNN,RNNN,ZRUN,UND,3.0,,6802,ACERO,DIJES,GENERAL,GENERAL
A3847-B,A3847-B,DIJE ACERO,WUNN,WONN,UNNN,RNNN,ZRUN,UND,3.0X2.5,,6802,ACERO,DIJES,GENERAL,GENERAL
A3852-D,A3852-D,DIJE ACERO,ZWNN,ZVNN,ZRNN,YSNN,SUN,UND,1,,6797,ACERO,DIJES,GENERAL,GENERAL
A3853-B,A3853-B,DIJE ACERO,ONN,ZNNN,ZYNN,ZPNN,VUN,UND,5.0,,6797,ACERO,DIJES,GENERAL,GENERAL
A3854-B,A3854-B,DIJE ACERO,ZUNN,ZRNN,YNNN,WNNN,RUN,UND,6.0X3.5,,6788,ACERO,DIJES,GENERAL,GENERAL
A3857-A,A3857-A,DIJE ACERO,UUN,SNN,RNN,ZZNN,YRU,UND,,,6788,ACERO,DIJES,GENERAL,GENERAL
A3858-D,A3858-D,DIJE ACERO,ZWNN,ZVNN,ZRNN,YSNN,SUN,UND,,,6788,ACERO,DIJES,GENERAL,GENERAL
A3860-D,A3860-D,DIJE ACERO,ZYNN,ZWNN,ZSNN,YVNN,SNN,UND,1,,6794,ACERO,DIJES,GENERAL,GENERAL
A3862-D,A3862-D,DIJE ACERO,ZYNN,ZWNN,ZSNN,YVNN,SNN,UND,4.5X2.5,,6791,ACERO,DIJES,GENERAL,GENERAL
A3863-A,A3863-A,DIJE ACERO,UUN,SNN,RNN,ZZNN,YRU,UND,,,,ACERO,DIJES,GENERAL,GENERAL
A3864-D,A3864-D,DIJE ACERO,ZYNN,ZWNN,ZSNN,YVNN,SNN,UND,,,,ACERO,DIJES,GENERAL,GENERAL
A3868-D,A3868-D,DIJE ACERO,ZYNN,ZWNN,ZSNN,YVNN,SNN,UND,3.3X2.5,,6798,ACERO,DIJES,GENERAL,GENERAL
A3872-D,A3872-D,DIJE ACERO,ZUNN,ZRNN,YNNN,WNNN,RUN,UND,4.5X2.5,,6798,ACERO,DIJES,GENERAL,GENERAL
A3875-B,A3875-B,DIJE ACERO,ZYNN,ZWNN,ZSNN,YVNN,SNN,UND,5.5X3.5,,6814,ACERO,DIJES,GENERAL,GENERAL
A3876-A,A3876-A,DIJE ACERO,ZWNN,ZVNN,ZRNN,YSNN,SUN,UND,1,,6795,GENERAL,GENERAL,GENERAL,GENERAL
A3877-D,A3877-D,DIJE ACERO,ZONN,YZNN,YUNN,WPNN,OUN,UND,0,,,GENERAL,GENERAL,GENERAL,GENERAL
A3878-A,A3878-A,DIJE ACERO IMAGEN,ZWNN,ZVNN,ZRNN,YSNN,SUN,UND,3.5X2.5,,6812,ACERO,DIJES,GENERAL,GENERAL
A3879-D,A3879-D,DIJE ACERO IMAGEN,YNNN,YYNN,YSNN,VNNN,ZNNN,UND,3.5X2.5,,6812,ACERO,DIJES,GENERAL,GENERAL
A3885-D,A3885-D,DIJE ACERO,ZWNN,ZVNN,ZRNN,YSNN,SUN,UND,1,,6801,ACERO,DIJES,GENERAL,GENERAL
A3887-D,A3887-D,DIJE ACERO,ZUNN,ZRNN,YNNN,WNNN,RUN,UND,1,,6798,GENERAL,GENERAL,GENERAL,GENERAL
A3888-A,A3888-A,DIJE ACERO,ZYNN,ZVNN,ZSNN,YVNN,SNN,UND,4.0,,6800,ACERO,DIJES,GENERAL,GENERAL
A3889-D,A3889-D,DIJE ACERO,YNNN,YYNN,YSNN,VNNN,ZNNN,UND,1,,6798,GENERAL,GENERAL,GENERAL,GENERAL
A3891-D,A3891-D,DIJE ACERO,ZUNN,ZRNN,YNNN,WNNN,RUN,UND,1,,6798,ACERO,DIJES,GENERAL,GENERAL
A3894-D,A3894-D,DIJE ACERO IMAGEN,ZWNN,ZVNN,ZPNN,YSNN,SUN,UND,4.0X2.5,,6799,ACERO,DIJES,GENERAL,GENERAL
A3895-A,A3895-A,DIJE ACERO,ZVNN,ZUNN,ZPNN,YPNN,RNN,UND,1,,6794,ACERO,DIJES,GENERAL,GENERAL
A3896-D,A3896-D,DIJE ACERO,YNNN,YYNN,YSNN,VNNN,ZNNN,UND,2.5,,6794,ACERO,DIJES,GENERAL,GENERAL
A3900-D,A3900-D,DIJE ACERO,ZONN,YZNN,YUNN,WPNN,OUN,UND,1,,6794,ACERO,DIJES,GENERAL,GENERAL
A3901-A,A3901-A,DIJE ACERO,YNNN,YYNN,YSNN,VNNN,ZNNN,UND,2.5,,6794,ACERO,DIJES,GENERAL,GENERAL
A3902-D,A3902-D,DIJE ACERO,YUNN,YPNN,WWNN,UNNN,ZYUN,UND,2.5,,6794,ACERO,DIJES,GENERAL,GENERAL
A3904-D,A3904-D,DIJE ACERO,YNNN,YYNN,YPNN,VNNN,ZNNN,UND,2.0X1.5,,6807,ACERO,DIJES,GENERAL,GENERAL
A3905-A,A3905-A,DIJE ACERO,YNNN,YYNN,YSNN,VNNN,ZNNN,UND,2.0,,6800,ACERO,DIJES,GENERAL,GENERAL
A3907-A,A3907-A,DIJE ACERO,SNN,RNN,PNN,ZYNN,WNN,UND,1,,6792,ACERO,DIJES,GENERAL,GENERAL
A3908-D,A3908-D,DIJE ACERO,ZWNN,ZVNN,ZRNN,YSNN,SUN,UND,1,,6792-6792,ACERO,DIJES,GENERAL,GENERAL
A3909-1A,A3909-1A,DIJE ACERO,SNN,RNN,PNN,ZYNN,WNN,UND,0,,6795,ACERO,DIJES,GENERAL,GENERAL
A3909-2A,A3909-2A,DIJE ACERO,SNN,RNN,PNN,ZYNN,WNN,UND,1,,6802,ACERO,DIJES,GENERAL,GENERAL
A3910-1D,A3910-1D,DIJE ACERO,ZWNN,ZVNN,ZRNN,YSNN,SUN,UND,1,,6795,ACERO,DIJES,GENERAL,GENERAL
A3910-2D,A3910-2D,DIJE ACERO IMAGEN,ZWNN,ZVNN,ZRNN,YSNN,SUN,UND,4.0X2.5,,6802,ACERO,DIJES,GENERAL,GENERAL
A3911-A,A3911-A,DIJE ACERO,SNN,RNN,PNN,ZYNN,WNN,UND,1,,6794,ACERO,DIJES,GENERAL,GENERAL
A3912-D,A3912-D,DIJE ACERO,ZWNN,ZVNN,ZRNN,YSNN,SUN,UND,4.0,,6794,ACERO,DIJES,GENERAL,GENERAL
A3913-A,A3913-A,DIJE ACERO,UUN,SNN,RNN,ZZNN,YRU,UND,,,6794,ACERO,DIJES,GENERAL,GENERAL
A3914-D,A3914-D,DIJE ACERO,ZWNN,ZVNN,ZRNN,YSNN,SUN,UND,,,6794,ACERO,DIJES,GENERAL,GENERAL
A3915-A,A3915-A,DIJE ACERO,SNN,RNN,PNN,ZYNN,WNN,UND,0,,6801,ACERO,DIJES,GENERAL,GENERAL
A3916-D,A3916-D,DIJE ACERO IMAGEN,ZWNN,ZVNN,ZRNN,YSNN,SUN,UND,4.0X2.5,,6799,ACERO,DIJES,GENERAL,GENERAL
A3917-A,A3917-A,DIJE ACERO,SNN,RNN,PNN,ZYNN,WNN,UND,0,,6813,ACERO,DIJES,GENERAL,GENERAL
A3918-D,A3918-D,DIJE ACERO,ZWNN,ZVNN,ZRNN,YSNN,SUN,UND,4.0,,6799,ACERO,DIJES,GENERAL,GENERAL
A3919-A,A3919-A,DIJE ACERO,RNN,PNN,ONN,ZVNN,WUN,UND,1,,6814,GENERAL,GENERAL,GENERAL,GENERAL
A3920-D,A3920-D,DIJE ACERO,ZYNN,ZWNN,ZSNN,YVNN,SNN,UND,1,,6814,GENERAL,GENERAL,GENERAL,GENERAL
A3921-A,A3921-A,DIJE ACERO,RUN,PNN,ZNNN,ZUNN,WRU,UND,7CM,,6795,ACERO,DIJES,GENERAL,GENERAL
A3922-D,A3922-D,DIJE ACERO,ZWNN,ZVNN,ZRNN,YSNN,SUN,UND,1,,6795,ACERO,DIJES,GENERAL,GENERAL
A3923-A,A3923-A,DIJE ACERO,SUN,RNN,PNN,ZWNN,WYU,UND,1,,6794,ACERO,DIJES,GENERAL,GENERAL
A3924-D,A3924-D,DIJE ACERO,ZWNN,ZVNN,ZRNN,YSNN,SUN,UND,2.5,,6793,ACERO,DIJES,GENERAL,GENERAL
A3925-A,A3925-A,DIJE ACERO,PUN,ONN,ZZNN,ZRNN,VYU,UND,2.5,,6792,ACERO,DIJES,GENERAL,GENERAL
A3926-D,A3926-D,DIJE ACERO,ZWNN,ZVNN,ZRNN,YSNN,SUN,UND,2.5,,6792,ACERO,DIJES,GENERAL,GENERAL
A3929-B,A3929-B,DIJE ACERO IMAGEN,YYNN,YVNN,YONN,VVNN,ZZNN,UND,3.5X1.5,,6800,ACERO,DIJES,GENERAL,GENERAL
A3930-D,A3930-D,ARGOLLA ACERO,ZZNN,ZYNN,ZVNN,YYNN,UUN,UND,T:19,,7321,GENERAL,GENERAL,GENERAL,GENERAL
A3931-A,A3931-A,ARGOLLA ACERO,RUN,PNN,ZNNN,ZUNN,WRU,UND,1,,7316,GENERAL,GENERAL,GENERAL,GENERAL
A3936-B,A3936-B,ANILLO ACERO,VNNN,VUNN,UNNN,PNNN,YNNN,UND,0,,7327,ACERO,ANILLOS,ANILLOS FINOS,GENERAL
A3939-A,A3939-A,DIJE ACERO,ZNNN,ZZNN,ZWNN,YNNN,UNN,UND,1,,6799,GENERAL,GENERAL,GENERAL,GENERAL
A3940-D,A3940-D,DIJE ACERO,ZSNN,ZPNN,YZNN,WYNN,PNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
A3942-D,A3942-D,DIJE ACERO,ZWNN,ZVNN,ZRNN,YSNN,SUN,UND,1,,6814,ACERO,DIJES,GENERAL,GENERAL
A3943-B,A3943-B,DIJE ACERO,ZUNN,ZRNN,YNNN,WNNN,RUN,UND,5.0,,6788,ACERO,DIJES,GENERAL,GENERAL
A3944-B,A3944-B,DIJE ACERO,ZUNN,ZRNN,YNNN,WNNN,RUN,UND,5.5X3.5,,6799,ACERO,DIJES,GENERAL,GENERAL
A3947-D,A3947-D,DUO ACERO IMAGEN,UNNN,UUNN,SUNN,ZNNNN,YUNN,UND,1,,7389,GENERAL,GENERAL,GENERAL,GENERAL
A3949-D,A3949-D,TOPO BROCHE DE SEGURIDAD,ZOPNN,YZSNN,YVNNN,WOSNN,OONN,DOC,12,,6936,ACERO,ARETES,TOPOS EN TABLERO,GENERAL
A3950-D,A3950-D,TOPO ACERO SEGURIDAD,ZUSNN,ZRYNN,YZSNN,WZYNN,RPNN,DOC,0,,6930,ACERO,ARETES,TOPOS EN TABLERO,GENERAL
A3951-D,A3951-D,TOPO BROCHE DE SEGURIDAD,ZOPNN,YZSNN,YVNNN,WOSNN,OONN,DOC,,,6930,ACERO,ARETES,TOPOS EN TABLERO,GENERAL
A3952-D,A3952-D,TOPO BROCHE DE SEGURIDAD,ZOPNN,YZSNN,YVNNN,WOSNN,OONN,DOC,,,6937,ACERO,ARETES,TOPOS EN TABLERO,GENERAL
A3953-D,A3953-D,TOPO BROCHE DE SEGURIDAD,ZOPNN,YZSNN,YVNNN,WOSNN,OONN,DOC,12,,6936,GENERAL,GENERAL,GENERAL,GENERAL
A3954-D,A3954-D,TOPO ACERO SEGURIDAD,ZUSNN,ZRYNN,YZSNN,WZYNN,RPNN,DOC,0,,6930,ACERO,ARETES,TOPOS EN TABLERO,GENERAL
A3955-D,A3955-D,TOPO BROCHE DE SEGURIDAD,ZOPNN,YZSNN,YVNNN,WOSNN,OONN,DOC,12,,6937,ACERO,ARETES,TOPOS EN TABLERO,GENERAL
A3956-D,A3956-D,TOPO ACERO SEGURIDAD,ZOYNN,YNVNN,YSVNN,WPVNN,OSNN,DOC,0,,6936,ACERO,ARETES,TOPOS EN TABLERO,GENERAL
A3957-D,A3957-D,TOPO BROCHE DE SEGURIDAD,YZSNN,YWPNN,YPZNN,VWYNN,ZNPNN,DOC,12,,6930,ACERO,ARETES,TOPOS EN TABLERO,GENERAL
A3958-D,A3958-D,TOPO BROCHE DE SEGURIDAD,YVNNN,YSVNN,WNNNN,VPNNN,ZYNNN,DOC,12,,6936,ACERO,ARETES,TOPOS EN TABLERO,GENERAL
A3959,A3959,SET ARETES,ZPNNN,ZOSNN,YVNNN,WSNNN,ONNN,DOC,0,,2704,FANTASIA,ARETES,ECONOMICOS,GENERAL
A3960,A3960,SET ARETES,ZPNNN,ZOSNN,YUYNN,WSNNN,ONNN,DOC,0,,2713,FANTASIA,ARETES,ECONOMICOS,GENERAL
A3961,A3961,SET ARETES,YZSNN,YWVNN,YVNNN,VWYNN,ZNPNN,DOC,0,,2714,FANTASIA,ARETES,ECONOMICOS,GENERAL
A3963,A3963,SET ARETES,ZPNNN,ZOSNN,YUYNN,WSNNN,ONNN,DOC,0,,2712,FANTASIA,ARETES,ECONOMICOS,GENERAL
A3966,A3966,CANDONGA PERLA MEDIANA,ZPNNN,ZOPNN,YWVNN,WSNNN,ONNN,DOC,12,,2328,FANTASIA,ARETES,ECONOMICOS,GENERAL
A3967,A3967,CANDONGA PERLAS GRANDE,ZPNNN,ZOPNN,YWVNN,WSNNN,ONNN,DOC,12,,2491,FANTASIA,ARETES,ECONOMICOS,GENERAL
A3968,A3968,BALACA MELODY PERLAS,ZPNNN,ZOPNN,YVNNN,WSNNN,ONNN,DOC,0,,3439,FANTASIA,BALACAS,GENERAL,GENERAL
A3970,A3970,RESORTE PERLAS,ONNN,OSNN,ZZVNN,ZPNNN,VUNN,DOC,12,,3968,GENERAL,GENERAL,GENERAL,GENERAL
A3971,A3971,AGUJA PARA PEINADOS,WNNN,WWNN,WSNN,SNNN,ZUNN,DOC,,,4192,GENERAL,GENERAL,GENERAL,GENERAL
A3972,A3972,SET PARA PEINADOS,SNNN,SSNN,RPNN,ZYNNN,WNNN,DOC,,,4191,GENERAL,GENERAL,GENERAL,GENERAL
