#100NEWSALON,#100NEWSALON,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,100,,,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,CARTON
106,106,DIADEMA FRANCES,VUNN,UNNN,UONN,ONNN,YYUN,UND,2 CM,,6801,CAREY FRANCES,DIADEMAS,GENERAL,GENERAL
000000221429,1068,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,12,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
,10PS,SARTA PERLA,N,N,N,N,N,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000221672,1100,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000221443,1103,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000231015,1104-1,ENSAMBLE GOLFIED,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000230995,1104-2,ENSAMBLE GOLFIED,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
,1104-3,ENSAMBLE GOLFIED,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000221948,1104-4,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
1105,1105,PEINILLA PARA NIÑA,ONNN,OONN,ZZRNN,ZPNNN,VUNN,DOC,,,,GENERAL,GENERAL,GENERAL,GENERAL
1106,1106,PEINILLA PARA NIÑA,ONNN,OONN,ZZRNN,ZPNNN,VUNN,DOC,,,,GENERAL,GENERAL,GENERAL,GENERAL
11091-5,11091-5,CUBO PULIDOR,ZWNNN,ZVWNN,ZSONN,YSNNN,SUNN,DOC,9.5X2.5,,4431,ARTICULOS DE BELLEZA,MANOS Y PIES,MANICURE Y PEDICURE,GENERAL
11091-8,11091-8,PEINE CABELLO,SNNN,SSNN,RPNN,ZYNNN,WNNN,DOC,21cm,,4292,GENERAL,GENERAL,GENERAL,GENERAL
000000221795,1142,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
114RTS,114RTS,CEPILLO FLORES,WNNN,WWNN,WONN,SNNN,ZUNN,UND,,,6448,GENERAL,GENERAL,GENERAL,GENERAL
116,116,BANANA FRANCES,UUNN,SNNN,RYNN,ZZNNN,YRUN,UND,2 CM,,6731,CAREY FRANCES,BANANAS,GENERAL,GENERAL
000000220927,1178,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
,1200661F071,FAYA MILLENIUM 16MM LUREX CTA,N,N,N,N,N,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000221665,1201,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
1211,1211,STIKER PARA DECORAR UÑAS,VYNN,UNNN,SNNN,PVNN,YZNN,DOC,43X22,,,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
12121-4,12121-4,RULO  MAGICO CABELLO,ZYNNN,ZWYNN,ZUSNN,YVNNN,SNNN,DOC,12,,4211,FANTASIA,PELO SINTETICO,DIADEMAS,GENERAL
121-4,121-4,PEINILLA PIOJO METAL,YRNN,WNNN,WUNN,UVNN,ZWUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
121-4A205,121-4A205,PEINILLA PIOJO METAL,YRNN,WNNN,WUNN,UVNN,ZWUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000222136,1233,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
126,126,HEBILLA FRANCES,SNNN,SUNN,PUNN,ZYNNN,WNNN,UND,6 CM,,6701,CAREY FRANCES,HEBILLAS,GENERAL,GENERAL
12857,12857,CREMA DE MANOS,PNN,ONN,ZNNN,ZSNN,VNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
13052-3,13052-3,RESORTE,UVNN,SNNN,RPNN,ZNPNN,YRNN,DOC,Dimension,,3974,FANTASIA,COLEROS,GENERAL,GENERAL
13056-2,13056-2,SEPARADOR DEDOS,ZUSNN,ZRYNN,YNWNN,WZYNN,RPNN,DOC,12,,4438,ARTICULOS DE BELLEZA,MANOS Y PIES,SEPARADOR UÑAS,GENERAL
13056-4,13056-4,STICKER UÑAS,UNN,SNN,RNN,ZNNN,YUN,UND,2.5,,4530,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
13061-4,13061-4,STICKER UÑAS,ZUNN,ZRNN,YNNN,WNNN,RUN,DOC,2.5X1.3,,4540,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
000000222129,1308,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000221450,1310,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
13108-1,13108-1,CINTA PARA UÑAS,VPNN,UVNN,SSNN,OSNN,YVNN,CTN,4.5,,4443,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
13109-11,13109-11,RULO CHUMY,ZONN,YZNN,YUNN,WPNN,OUN,PQT,6,,4258,GENERAL,GENERAL,GENERAL,GENERAL
13109-12,13109-12,CHUMI GRANDE PQT X6,YNNN,YYNN,YSNN,VNNN,ZNNN,PQT,6,,4257,GENERAL,GENERAL,GENERAL,GENERAL
13109-2,13109-2,CHUMY GRANDE,YSNN,YONN,WVNN,UYNN,ZWNN,UND,1,,,ARTICULOS DE BELLEZA,CABELLO,RULOS,GENERAL
13122-1,13122-1,PEINILLA JUMBO,ONNN,OONN,ZZRNN,ZPNNN,VUNN,DOC,,,,GENERAL,GENERAL,GENERAL,GENERAL
13122-1HE0919,13122-1HE0919,PEINILLA JUMBO,ONNN,OONN,ZZRNN,ZPNNN,VUNN,DOC,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000221610,1313,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000220880,1341,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,SEPARADORES,GENERAL
135-21F,135-21F,BRILLO PARA NIÑA BOTA,ZWYNN,ZVSNN,ZRYNN,YSVNN,SSNN,CAJ,6x4.5,,4260,ARTICULOS DE BELLEZA,MAQUILLAJE,BRILLOS,GENERAL
000000221504,138,ENSAMBLE GOLFID,ZVNN,ZUUN,ZPNN,YPNN,RNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
14051-1,14051-1,PINZA PIOJO,VPNN,UVNN,SSNN,OSNN,YVNN,TIR,12,,7461,FANTASIA,ACCESORIOS PARA FIESTA,CABELLO,GENERAL
14069-2,14069-2,LIMA,VPNN,UWNN,SYNN,OSNN,YVNN,DOC,,,,GENERAL,GENERAL,GENERAL,GENERAL
14076-1,14076-1,DISPENSADOR DE REMOVEDOR,ZPNN,YNNN,YWNN,WSNN,ONN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
14077-3,14077-3,EMPAQUE EN DISCO,WSNN,VNNN,VRNN,RYNN,ZPNN,DOC,,,3922,EXHIBIDORES Y ORGANIZADORES,ORGANIZADORES,GENERAL,GENERAL
14080-2,14080-2,GORRO MECHAS,ZYNN,ZVNN,ZSNN,YVNN,SNN,UND,16,,4332,ARTICULOS DE BELLEZA,CABELLO,GORRO TINTE,GENERAL
14080-3,14080-3,CAPA DE PELUQUERIA SEDA,WPNN,VYNN,UNNN,RSNN,ZONN,UND,1,,6427,ARTICULOS DE BELLEZA,BARBERIA,CAPAS,GENERAL
